"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-07" "2018-07-23"
"936" 644.340203014457 644.340203014457 623.949093713845 634.940223679136 0 962.357736081206 651.261150415257 620.924330975084 623.949093713845 0 0 616.544543000386 623.949093713845 982.144234477439 947.088314693405 0 623.949093713845 0 0
"937" 622.057001239157 622.057001239157 626.245974543782 636.712160711547 0 987.856257744733 668.401486988847 622.057001239157 626.245974543782 0 0 589.211777334765 626.245974543782 986.236773500997 963.464192608496 0 626.245974543782 0 0
"938" 623.949093713845 623.949093713845 628.387796190181 628.387796190181 0 954.492865406864 634.940223679136 623.949093713845 628.387796190181 0 0 598.304166021372 626.993960043364 1018.19730525012 966.973826854576 628.387796190181 626.993960043364 0 0
"939" 644.254182703637 644.254182703637 601.21932155698 620.798811943098 0 1072.06818003299 644.254182703637 621.750058911319 601.21932155698 0 0 594.653743942473 601.21932155698 1050.60966077849 1044.04408316398 0 601.21932155698 0 0
"940" 629.526568575131 629.526568575131 617.647058823529 647.058823529412 0 1012.50285888542 619.120225661355 619.120225661355 617.647058823529 0 0 588.235294117647 617.647058823529 1000 1000 0 588.235294117647 0 0
"941" 602.767401082564 602.767401082564 617.647058823529 617.647058823529 0 985.743691392849 632.728520240909 602.767401082564 617.647058823529 0 0 558.823529411765 617.647058823529 1000 941.176470588235 617.647058823529 617.647058823529 0 0
"942" 603.224822749104 589.616528169551 617.647058823529 617.647058823529 0 965.274071815202 632.271098574369 589.616528169551 617.647058823529 0 0 558.823529411765 588.235294117647 911.764705882353 911.764705882353 617.647058823529 588.235294117647 0 0
"943" 605.511931081802 576.008233589998 588.235294117647 588.235294117647 0 918.960128078067 605.511931081802 576.008233589998 588.235294117647 0 0 558.823529411765 588.235294117647 941.176470588235 911.764705882353 588.235294117647 588.235294117647 0 0
"944" 589.616528169551 560.112830677746 588.235294117647 588.235294117647 0 864.412594343219 589.616528169551 560.112830677746 558.823529411765 0 0 529.411764705882 588.235294117647 1000 970.588235294118 558.823529411765 558.823529411765 0 0
"945" 601.406799531067 571.16060961313 588.235294117647 558.823529411765 0 774.794841735053 601.406799531067 558.616647127784 529.411764705882 0 0 529.411764705882 558.823529411765 911.764705882353 970.588235294118 558.823529411765 529.411764705882 0 0
"946" 588.862837045721 573.505275498242 529.411764705882 558.823529411765 0 689.097303634232 588.862837045721 556.271981242673 529.411764705882 0 0 529.411764705882 529.411764705882 823.529411764706 941.176470588235 529.411764705882 529.411764705882 0 0
"947" 571.629542790152 556.740914419695 529.411764705882 529.411764705882 0 671.864009378664 571.629542790152 556.740914419695 529.411764705882 0 0 529.411764705882 529.411764705882 764.705882352941 852.941176470588 529.411764705882 529.411764705882 0 0
"948" 556.740914419695 541.383352872216 529.411764705882 529.411764705882 0 691.910902696366 556.740914419695 531.652989449004 529.411764705882 0 0 500 529.411764705882 735.294117647059 764.705882352941 529.411764705882 529.411764705882 0 0
"949" 519.745368605626 519.745368605626 529.411764705882 529.411764705882 0 696.653198139819 530.609133185942 501.105435694137 500 0 0 500 529.411764705882 735.294117647059 735.294117647059 529.411764705882 529.411764705882 0 0
"950" 501.105435694137 501.105435694137 529.411764705882 529.411764705882 0 731.760311046733 519.745368605626 501.105435694137 500 0 0 470.588235294118 529.411764705882 764.705882352941 735.294117647059 500 500 0 0
"951" 501.105435694137 501.105435694137 500 500 0 737.249371045208 501.105435694137 501.105435694137 470.588235294118 0 0 470.588235294118 470.588235294118 794.117647058824 764.705882352941 500 470.588235294118 0 0
"952" 501.105435694137 501.105435694137 470.588235294118 500 0 759.091255622474 501.105435694137 501.105435694137 470.588235294118 0 0 500 500 823.529411764706 794.117647058824 500 470.588235294118 0 0
"953" 501.105435694137 501.105435694137 470.588235294118 500 0 766.410002287108 501.105435694137 501.105435694137 470.588235294118 0 0 470.588235294118 470.588235294118 764.705882352941 764.705882352941 470.588235294118 470.588235294118 0 0
"954" 501.105435694137 493.786689029504 470.588235294118 470.588235294118 0 766.410002287108 501.105435694137 493.786689029504 470.588235294118 0 0 470.588235294118 470.588235294118 764.705882352941 764.705882352941 500 470.588235294118 0 0
"955" 501.105435694137 471.944804452237 470.588235294118 500 0 759.091255622475 501.105435694137 471.944804452237 470.588235294118 0 0 470.588235294118 470.588235294118 764.705882352941 764.705882352941 500 470.588235294118 0 0
"956" 493.786689029504 479.263551116871 500 500 0 715.407486467942 501.105435694137 471.944804452237 470.588235294118 0 0 470.588235294118 500 735.294117647059 735.294117647059 500 470.588235294118 0 0
