"2016-06-17" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08"
"82" 0 480.564263322884 480.564263322884 229.114420062696 0 480.564263322884 393.691222570532
"83" 0 451.057993730407 481.504702194357 0 0 451.057993730407 418.965517241379
"84" 0 438.949843260188 510.540752351097 0 0 452.762539184953 421.316614420062
"85" 0 442.903088309373 504.863021660789 0 0 417.444879296314 442.554345720153
"86" 0 438.262700300206 501.0721665562 0 0 440.134118289212 428.905610355179
"87" 0 398.261140785215 448.555499239736 0 0 398.261140785215 367.499707590939
"88" 375.470219435736 382.523510971786 412.382445141065 0 0 397.923197492163 382.523510971786
"89" 382.523510971786 376.41065830721 390.869905956112 0 0 390.869905956112 342.966300940438
"90" 361.010971786833 390.869905956112 399.216300940438 0 0 390.869905956112 353.663793103448
"91" 361.010971786833 418.377742946708 439.890282131661 0 0 418.377742946708 386.637931034482
"92" 361.010971786833 450.58777429467 450.58777429467 0 0 450.58777429467 390.869905956112
"93" 367.616671215252 459.667043549456 459.667043549456 0 0 459.667043549456 398.378104409528
"94" 374.549540822257 446.041771612353 453.016623396752 0 0 446.041771612353 393.962878288836
"95" 373.154570465377 446.041771612353 472.429960863331 0 0 446.041771612353 336.071608478319
"96" 378.269461773937 446.041771612353 472.429960863331 0 0 446.041771612353 297.593676134382
"97" 371.35579937304 404.036050156739 416.144200626959 0 0 416.144200626959 280.956112852664
"98" 360.658307210031 360.658307210031 390.987460815047 0 0 378.879310344827 270.258620689655
"99" 360.658307210031 360.658307210031 378.879310344827 0 0 360.658307210031 270.258620689655
"100" 360.658307210031 376.057993730407 395.219435736677 0 0 360.658307210031 270.258620689655
"101" 386.138613861386 415.841584158416 415.841584158416 0 0 415.841584158416 297.029702970297
"102" 386.138613861386 415.841584158416 415.841584158416 0 0 415.841584158416 297.029702970297
"103" 386.138613861386 415.841584158416 415.841584158416 0 0 415.841584158416 297.029702970297
"104" 356.435643564356 386.138613861386 415.841584158416 0 0 356.435643564356 267.326732673267
"105" 386.138613861386 386.138613861386 386.138613861386 0 0 386.138613861386 267.326732673267
"106" 297.029702970297 386.138613861386 386.138613861386 0 0 386.138613861386 267.326732673267
"107" 297.029702970297 386.138613861386 386.138613861386 0 0 386.138613861386 267.326732673267
"108" 356.435643564356 415.841584158416 415.841584158416 0 0 415.841584158416 267.326732673267
"109" 297.029702970297 415.841584158416 415.841584158416 0 0 415.841584158416 267.326732673267
"110" 326.732673267327 445.544554455446 445.544554455446 0 0 445.544554455446 267.326732673267
"111" 297.029702970297 445.544554455446 445.544554455446 0 0 445.544554455446 267.326732673267
"112" 326.732673267327 504.950495049505 504.950495049505 0 0 504.950495049505 207.920792079208
"113" 326.732673267327 504.950495049505 504.950495049505 0 0 504.950495049505 178.217821782178
"114" 326.732673267327 475.247524752475 504.950495049505 0 0 504.950495049505 207.920792079208
"115" 326.732673267327 504.950495049505 504.950495049505 0 0 504.950495049505 237.623762376238
"116" 356.435643564356 504.950495049505 504.950495049505 237.623762376238 0 504.950495049505 267.326732673267
"117" 386.138613861386 534.653465346535 534.653465346535 297.029702970297 0 504.950495049505 267.326732673267
"118" 392.689233662435 543.253408556652 543.253408556652 290.197461212976 0 543.253408556652 0
"119" 450.282087447108 570.874471086036 570.874471086036 0 0 594.264221908791 0
"120" 462.035731076633 594.264221908791 600.376116596144 0 0 620.474847202632 0
"121" 544.428772919605 626.586741889985 666.31405735778 0 0 652.679830747531 0
"122" 668.54724964739 689.116125999059 712.8584861307 0 0 703.102961918194 0
"123" 0 739.421720733427 759.520451339915 0 0 739.421720733427 0
"124" 0 772.929825241213 813.15147053125 0 0 780.369667144572 0
"125" 0 784.089588096252 833.029798116789 0 0 806.292866276591 0
"126" 0 842.266102491771 842.266102491771 0 0 842.266102491771 0
"127" 0 887.635166901738 915.726375176304 0 0 887.635166901738 0
