"2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15"
575.898986049029 598.022757851409 761.113242225176 793.995350476279 NA 469.741286246338 798.300093921604 594.731490378729 798.503033119899 616.327140155864 768.33687263289 636.59223848327 778.465682606547 578.695486860454 585.304902372496 484.394747317358 473.613280438902 NA 473.613280438902 NA 775.607231657236 600.961098706504 561.262756005196
496.518000442561 429.569661550816 676.902840176646 692.202719997668 NA 448.96976117596 705.931770315932 520.695552450735 701.050348166648 524.64604247994 687.766762863038 536.102700863419 698.299614781633 507.290905061323 500.255930875362 485.24667782461 443.76485404838 NA 445.035707110264 NA 683.828115846771 514.666507604482 465.686579171506
611.291399742454 573.22038684825 710.671866721741 778.873985037493 NA 476.075341798094 783.44878940344 655.15121527575 783.44878940344 714.178143626474 714.231809614499 706.292692154734 718.232011962554 605.587859972618 644.221309007226 493.436973817049 482.270282966637 NA 486.673012242989 NA 715.373561013242 647.316048273966 605.691551169905
499.394278518934 443.993169386483 682.438136500146 699.962347210402 NA 449.5293561253 709.176859156342 517.161846958402 704.836359913782 511.006154969748 691.485104910285 527.381231911146 701.544703622043 506.444539608909 499.442135007597 484.466685757333 448.53500156129 NA 449.805854623174 NA 689.701450175155 511.132646864874 467.974126751278
566.782857403497 604.450587168506 761.948741347387 786.582945559958 NA 465.447546019558 791.395037001021 580.887145938493 793.720381981487 593.70983538943 768.843043697161 595.994390380082 778.870438391584 570.116883186156 569.946969744975 477.947086705032 467.773228803377 NA 467.773228803377 NA 776.113402721506 585.907950589163 553.734613459013
496.672815322675 462.737397963542 689.536570983558 707.954647242129 NA 449.763363585238 713.58386688301 512.008081205797 711.279611299674 491.783475502414 698.717543452163 519.832802916614 707.51969232495 508.289805295643 495.772663364996 482.669145271016 452.250673900767 NA 453.362670329915 NA 695.6848508954 505.993091186106 472.883699222863
493.190913570069 465.972899939867 692.536263544633 710.063232012198 NA 447.993934909585 714.246760261234 509.170675758095 713.829485083027 484.144033563045 699.472836114444 514.747449684338 709.532434826201 506.193613491034 491.618661610808 478.522313613936 450.836575270189 NA 453.114390662926 NA 696.040607615937 503.442400420554 473.549249947271
626.169151013771 552.825745735295 687.081534146474 771.352318240229 NA 472.82534545815 774.311528072875 675.369821824184 774.311528072875 729.516649317859 688.484835508272 695.396150120036 690.742809796022 604.917300354546 661.236383254461 489.475945893014 478.005168754954 NA 483.81969254082 NA 688.484835508272 664.837887927168 612.766527271426
556.163969546356 616.568833848855 765.197754849773 782.254402703008 NA 456.859029155469 788.281678314056 569.360711619425 792.558222880379 574.673501464233 773.679353512178 556.900159467552 781.550189198085 564.990079976394 556.266613805156 469.151193592345 462.285828104956 NA 462.285828104956 NA 780.949712536524 571.246571727823 547.535131315483
577.849296195784 567.30978877017 575.353950382334 590.20796171371 NA 556.525590561791 590.20796171371 587.043872196646 593.709265691302 586.333311888434 577.849296195784 588.49044868671 590.20796171371 590.20796171371 576.131783168784 563.401368182713 568.291465345781 NA 571.624325315094 577.815179393214 577.849296195784 579.633864099797 578.246999077803
