"2018-05-28" "2018-05-29" "2018-06-08" "2018-06-20" "2018-06-25" "2018-06-26" "2018-06-27" "2018-07-02" "2018-07-03" "2018-07-07" "2018-07-18" "2018-07-20" "2018-07-22" "2018-07-23" "2018-07-24" "2018-07-30" "2018-07-31" "2018-08-11" "2018-08-19" "2018-08-22" "2018-09-08" "2018-09-13" "2018-09-17" "2016-08-22" "2016-08-28" "2016-09-01" "2017-05-15" "2017-05-17" "2017-06-06" "2017-06-22" "2017-06-21" "2017-06-27" "2017-06-28" "2017-07-05" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-20" "2017-07-29" "2017-07-30" "2017-07-31" "2017-08-05" "2017-08-07" "2017-08-21" "2017-08-31" "2017-09-06" "2017-09-14" "2017-09-16" "2017-09-17" "2017-09-08"
28.1699999999989 28.1699999999989 25.039999999999 21.9099999999991 25.039999999999 18.7799999999992 15.6499999999994 9.38999999999962 25.039999999999 25.039999999999 NA NA 21.9099999999991 NA 18.7799999999992 NA 25.039999999999 18.7799999999992 31.2999999999987 NA 18.7799999999992 28.1699999999989 34.4299999999986 34.4299999999986 12.5199999999995 21.9099999999991 28.1699999999989 28.1699999999989 15.6499999999994 NA 12.5199999999995 NA 12.5199999999995 21.9099999999991 18.7799999999992 NA 15.6499999999994 NA 15.6499999999994 NA 15.6499999999994 12.5199999999995 21.9099999999991 NA 46.9499999999981 NA 12.5199999999995 21.9099999999991 34.4299999999986 18.7799999999992
34.4299999999986 37.5599999999985 34.4299999999986 28.1699999999989 37.5599999999985 NA 31.2999999999987 31.2999999999987 62.5999999999975 34.4299999999986 NA NA 31.2999999999987 31.2999999999987 28.1699999999989 NA 28.1699999999989 34.4299999999986 40.6899999999983 NA 37.5599999999985 40.6899999999983 46.9499999999981 53.2099999999978 31.2999999999987 37.5599999999985 43.8199999999982 34.4299999999986 31.2999999999987 28.1699999999989 NA NA 25.039999999999 31.2999999999987 28.1699999999989 34.4299999999986 28.1699999999989 NA 31.2999999999987 31.2999999999987 31.2999999999987 28.1699999999989 31.2999999999987 34.4299999999986 65.7299999999973 31.2999999999987 43.8199999999982 40.6899999999983 46.9499999999981 40.6899999999983
28.1699999999989 34.4299999999986 28.1699999999989 25.039999999999 28.1699999999989 NA 21.9099999999991 25.039999999999 46.9499999999981 28.1699999999989 NA NA 25.039999999999 21.9099999999991 25.039999999999 NA 28.1699999999989 28.1699999999989 28.1699999999989 NA 31.2999999999987 37.5599999999985 40.6899999999983 37.5599999999985 28.1699999999989 28.1699999999989 34.4299999999986 34.4299999999986 21.9099999999991 18.7799999999992 NA NA 21.9099999999991 28.1699999999989 25.039999999999 25.039999999999 25.039999999999 NA 25.039999999999 21.9099999999991 25.039999999999 21.9099999999991 28.1699999999989 28.1699999999989 56.3399999999977 34.4299999999986 37.5599999999985 34.4299999999986 46.9499999999981 31.2999999999987
28.1699999999989 28.1699999999989 25.039999999999 21.9099999999991 21.9099999999991 15.6499999999994 18.7799999999992 12.5199999999995 18.7799999999992 25.039999999999 NA NA 15.6499999999994 NA 18.7799999999992 NA 28.1699999999989 21.9099999999991 28.1699999999989 NA 21.9099999999991 34.4299999999986 34.4299999999986 28.1699999999989 25.039999999999 21.9099999999991 34.4299999999986 31.2999999999987 15.6499999999994 NA 15.6499999999994 NA 18.7799999999992 25.039999999999 18.7799999999992 NA 21.9099999999991 NA 28.1699999999989 NA 18.7799999999992 15.6499999999994 18.7799999999992 NA 46.9499999999981 NA 18.7799999999992 21.9099999999991 34.4299999999986 18.7799999999992
37.5599999999985 34.4299999999986 34.4299999999986 18.7799999999992 NA NA 21.9099999999991 34.4299999999986 21.9099999999991 31.2999999999987 NA NA 25.039999999999 25.039999999999 28.1699999999989 NA 31.2999999999987 37.5599999999985 40.6899999999983 NA 34.4299999999986 46.9499999999981 37.5599999999985 43.8199999999982 40.6899999999983 37.5599999999985 43.8199999999982 37.5599999999985 25.039999999999 31.2999999999987 NA NA 28.1699999999989 28.1699999999989 28.1699999999989 18.7799999999992 25.039999999999 31.2999999999987 28.1699999999989 21.9099999999991 28.1699999999989 25.039999999999 34.4299999999986 25.039999999999 56.3399999999977 NA NA 34.4299999999986 50.079999999998 31.2999999999987
34.4299999999986 34.4299999999986 31.2999999999987 28.1699999999989 34.4299999999986 28.1699999999989 28.1699999999989 28.1699999999989 31.2999999999987 34.4299999999986 NA NA 28.1699999999989 21.9099999999991 25.039999999999 NA 25.039999999999 28.1699999999989 34.4299999999986 NA 25.039999999999 31.2999999999987 37.5599999999985 34.4299999999986 25.039999999999 31.2999999999987 37.5599999999985 34.4299999999986 25.039999999999 25.039999999999 NA NA 21.9099999999991 31.2999999999987 21.9099999999991 21.9099999999991 18.7799999999992 NA 31.2999999999987 NA 31.2999999999987 21.9099999999991 28.1699999999989 21.9099999999991 50.079999999998 NA 28.1699999999989 28.1699999999989 34.4299999999986 21.9099999999991
40.6899999999983 40.6899999999983 31.2999999999987 28.1699999999989 28.1699999999989 31.2999999999987 28.1699999999989 34.4299999999986 31.2999999999987 34.4299999999986 NA NA 28.1699999999989 NA 28.1699999999989 NA 34.4299999999986 31.2999999999987 46.9499999999981 NA 40.6899999999983 62.5999999999975 68.8599999999972 43.8199999999982 40.6899999999983 34.4299999999986 43.8199999999982 40.6899999999983 28.1699999999989 NA 18.7799999999992 NA 28.1699999999989 28.1699999999989 25.039999999999 NA 25.039999999999 NA 34.4299999999986 NA 31.2999999999987 25.039999999999 31.2999999999987 NA 100.159999999996 NA 40.6899999999983 56.3399999999977 78.2499999999968 46.9499999999981
31.2999999999987 28.1699999999989 21.9099999999991 15.6499999999994 NA NA 15.6499999999994 28.1699999999989 18.7799999999992 25.039999999999 NA NA 15.6499999999994 18.7799999999992 18.7799999999992 NA 21.9099999999991 21.9099999999991 28.1699999999989 NA 25.039999999999 31.2999999999987 34.4299999999986 34.4299999999986 25.039999999999 28.1699999999989 31.2999999999987 28.1699999999989 15.6499999999994 18.7799999999992 NA NA 15.6499999999994 18.7799999999992 18.7799999999992 12.5199999999995 18.7799999999992 37.5599999999985 21.9099999999991 18.7799999999992 18.7799999999992 18.7799999999992 25.039999999999 25.039999999999 53.2099999999978 NA NA 31.2999999999987 46.9499999999981 28.1699999999989
18.7799999999992 18.7799999999992 12.5199999999995 NA NA NA 9.38999999999962 NA NA 15.6499999999994 NA NA 6.25999999999974 6.25999999999974 9.38999999999962 NA 15.6499999999994 9.38999999999962 15.6499999999994 NA NA 15.6499999999994 21.9099999999991 31.2999999999987 9.38999999999962 9.38999999999962 28.1699999999989 15.6499999999994 9.38999999999962 3.12999999999987 NA NA NA 9.38999999999962 NA NA NA NA 9.38999999999962 12.5199999999995 NA NA 12.5199999999995 12.5199999999995 34.4299999999986 NA NA 25.039999999999 31.2999999999987 NA
31.2999999999987 31.2999999999987 31.2999999999987 NA NA NA 28.1699999999989 NA 28.1699999999989 28.1699999999989 NA NA 28.1699999999989 28.1699999999989 28.1699999999989 NA 31.2999999999987 25.039999999999 37.5599999999985 NA 31.2999999999987 37.5599999999985 43.8199999999982 34.4299999999986 31.2999999999987 25.039999999999 37.5599999999985 31.2999999999987 25.039999999999 31.2999999999987 NA NA 21.9099999999991 28.1699999999989 25.039999999999 21.9099999999991 25.039999999999 NA 28.1699999999989 21.9099999999991 18.7799999999992 28.1699999999989 25.039999999999 31.2999999999987 56.3399999999977 NA NA 37.5599999999985 46.9499999999981 34.4299999999986
