"2016-06-23" "2016-09-09" "2017-06-01" "2018-05-19" "2018-05-28" "2018-06-20" "2018-07-22" "2018-07-29" "2018-09-08" "2018-09-15" "2016-09-08" "2017-06-01" "2017-07-20" "2017-08-05" "2017-08-07" "2017-09-03" "2018-05-21" "2018-06-07" "2018-06-14" "2018-06-15" "2018-06-21" "2018-07-01" "2018-07-04" "2018-07-14" "2018-07-16" "2018-07-18" "2018-07-24" "2018-07-26" "2018-07-31" "2018-08-10" "2018-08-20" "2018-09-09" "2018-09-15" "2018-05-19" "2018-05-20" "2018-06-13" "2018-06-20" "2018-06-21" "2018-07-03" "2018-07-13" "2018-07-21" "2018-07-22" "2018-07-26" "2018-07-30" "2018-09-02" "2018-09-08" "2018-09-10" "2018-09-14" "2018-09-15" "2018-09-17" "2018-09-18" "2016-08-18" "2016-09-03" "2016-09-14" "2017-05-17" "2017-06-13" "2017-06-19" "2017-06-20" "2017-06-23" "2017-06-29" "2017-07-07" "2017-07-14" "2017-07-19" "2017-07-30" "2017-08-03" "2017-08-05" "2017-08-09" "2017-08-10" "2017-08-16" "2017-08-24" "2017-08-31" "2017-09-11" "2017-09-16" "2017-09-17" "2017-09-08" "2017-09-03"
686.059473010312 379.320764612465 NA 698.745868584451 695.390028768226 NA 377.164678614151 374.874062273541 441.582200960731 376.177495108958 496.672815322675 462.737397963542 689.536570983558 707.954647242129 NA 449.763363585238 713.58386688301 512.008081205797 711.279611299674 491.783475502414 698.717543452163 519.832802916614 707.51969232495 508.289805295643 495.772663364996 482.669145271016 452.250673900767 NA 453.362670329915 NA 695.6848508954 505.993091186106 472.883699222863 544.250000000003 534.920000000003 503.820000000003 NA 233.250000000001 503.820000000003 450.950000000002 370.090000000002 354.540000000002 NA 469.610000000003 522.480000000003 373.200000000002 370.090000000002 366.980000000002 NA 342.100000000002 338.990000000002 NA 401.190000000002 NA 541.140000000003 475.830000000003 429.180000000002 NA 391.860000000002 503.820000000003 NA 506.930000000003 510.040000000003 457.170000000003 534.920000000003 485.160000000003 488.270000000003 494.490000000003 366.980000000002 351.430000000002 NA 354.540000000002 345.210000000002 338.990000000002 317.220000000002 351.430000000002
768.947370903583 465.98263656591 449.129151149403 775.086950729786 775.377287333053 NA NA 437.850311577495 452.265973838508 432.695636623669 545.018778982603 621.74812559972 762.036016071151 774.085819613303 NA 446.144902260285 778.057783730165 553.601840686524 782.334328296488 553.594967747115 768.46230323937 520.915975596125 774.590910864972 551.672766419157 541.5143875553 459.404767966731 450.150643056072 NA 450.150643056072 NA 774.590910864972 555.420200429222 533.69253857206 522.480000000003 547.360000000003 506.930000000003 NA 419.850000000002 522.480000000003 500.710000000003 422.960000000002 416.740000000002 NA 513.150000000003 519.370000000003 410.520000000002 419.850000000002 426.070000000002 NA 398.080000000002 388.750000000002 NA 435.400000000002 394.970000000002 519.370000000003 485.160000000003 485.160000000003 NA 485.160000000003 519.370000000003 NA 494.490000000003 516.260000000003 488.270000000003 547.360000000003 519.370000000003 497.600000000003 503.820000000003 429.180000000002 394.970000000002 NA 394.970000000002 385.640000000002 373.200000000002 366.980000000002 404.300000000002
762.605182043731 458.057255627494 449.129151149403 769.525662940847 769.508026183966 NA 395.367566199539 426.319441300441 452.265973838508 422.881556459277 530.508209552101 628.319553059208 757.923343562048 767.173848940204 NA 430.064115329969 769.936448593467 535.826737262048 774.21299315979 534.948879276752 762.768154124022 490.365176189894 766.740202741108 537.607374081663 525.828282037802 446.616915174691 434.8788795706 NA 434.8788795706 NA 766.740202741108 536.968625124333 516.528916565104 519.370000000003 550.470000000003 491.380000000003 NA 422.960000000002 516.260000000003 488.270000000003 410.520000000002 398.080000000002 NA 488.270000000003 500.710000000003 394.970000000002 407.410000000002 413.630000000002 NA 382.530000000002 376.310000000002 NA 426.070000000002 394.970000000002 534.920000000003 488.270000000003 469.610000000003 NA 475.830000000003 494.490000000003 NA 488.270000000003 503.820000000003 444.730000000002 525.590000000003 503.820000000003 488.270000000003 488.270000000003 416.740000000002 398.080000000002 NA 398.080000000002 398.080000000002 357.650000000002 363.870000000002 404.300000000002
634.38748800984 454.718538345094 414.945225587394 644.267297584104 650.614319179604 NA 425.732918512881 428.633216713888 486.243484438635 428.691811853956 517.385585891802 430.618832922094 643.344908890885 644.363704221897 NA 499.229445948636 662.910525468215 559.370061939047 649.982009028583 584.394276903478 644.405020409449 593.412515122458 655.347333019613 561.379237980618 541.331286197222 511.319816138002 483.255126105983 NA 486.265198968925 NA 640.639708279913 526.913180904125 524.799962704334 771.280000000004 777.500000000004 715.300000000004 NA 413.630000000002 727.740000000004 662.430000000004 566.020000000003 534.920000000003 NA 684.200000000004 727.740000000004 547.360000000003 566.020000000003 569.130000000003 NA 531.810000000003 528.700000000003 NA 637.550000000003 NA 758.840000000004 702.860000000004 684.200000000004 NA 429.180000000002 1023.19000000001 NA 721.520000000004 737.070000000004 696.640000000004 774.390000000004 590.900000000003 696.640000000004 702.860000000004 547.360000000003 547.360000000003 NA 553.580000000003 547.360000000003 531.810000000003 534.920000000003 553.580000000003
775.737076944132 465.98263656591 449.129151149403 781.317053544644 780.013730092156 NA NA 450.99716748553 452.265973838508 443.685851000744 556.163969546356 616.568833848855 765.197754849773 782.254402703008 NA 456.859029155469 788.281678314056 569.360711619425 792.558222880379 574.673501464233 773.679353512178 556.900159467552 781.550189198085 564.990079976394 556.266613805156 469.151193592345 462.285828104956 NA 462.285828104956 NA 780.949712536524 571.246571727823 547.535131315483 503.820000000003 522.480000000003 478.940000000003 NA 422.960000000002 519.370000000003 482.050000000003 407.410000000002 394.970000000002 NA 482.050000000003 500.710000000003 385.640000000002 401.190000000002 407.410000000002 NA 373.200000000002 357.650000000002 NA 419.850000000002 351.430000000002 426.070000000002 472.720000000003 463.390000000003 NA 460.280000000003 500.710000000003 NA 497.600000000003 503.820000000003 463.390000000003 544.250000000003 503.820000000003 488.270000000003 485.160000000003 413.630000000002 376.310000000002 NA 376.310000000002 376.310000000002 338.990000000002 345.210000000002 385.640000000002
646.522675432401 427.173906440776 406.667117662684 654.287829624986 660.9899133127 NA 406.780955867581 406.769624772187 474.185246348146 409.729890407397 507.497640464971 419.386895775414 654.8316741813 655.762153290336 NA 478.04751723538 674.887328454969 538.313987079124 661.271305469501 559.403119988964 657.985340073894 568.421358207945 666.636629460532 532.685003385648 519.441921427166 494.768200629212 465.855276671597 NA 462.187337109946 NA 652.476187894729 516.147736933533 499.196475280373 553.580000000003 538.030000000003 475.830000000003 NA 223.920000000001 488.270000000003 441.620000000002 385.640000000002 376.310000000002 NA 441.620000000002 503.820000000003 376.310000000002 382.530000000002 385.640000000002 NA 366.980000000002 360.760000000002 NA 413.630000000002 NA 528.700000000003 485.160000000003 469.610000000003 NA 363.870000000002 516.260000000003 NA 503.820000000003 488.270000000003 466.500000000003 525.590000000003 407.410000000002 506.930000000003 503.820000000003 376.310000000002 267.460000000001 NA 379.420000000002 370.090000000002 342.100000000002 354.540000000002 373.200000000002
761.329124025557 435.874107404755 450.088512127888 765.519802881027 768.231968165792 NA 392.699200803802 417.388537789607 428.482142352543 414.22036146209 521.278870753388 652.310668728331 761.692909772331 767.48175564583 NA 421.262500686758 770.244355299093 526.503311262942 774.520899865417 522.938171431045 765.22530054778 465.778248452627 767.048109446734 527.84739496731 516.59894323909 438.429430393148 428.200076787274 NA 428.200076787274 NA 767.048109446734 523.440806889357 507.0289403978 506.930000000003 522.480000000003 460.280000000003 NA 385.640000000002 485.160000000003 482.050000000003 394.970000000002 391.860000000002 NA 482.050000000003 497.600000000003 366.980000000002 394.970000000002 398.080000000002 NA 379.420000000002 376.310000000002 NA 407.410000000002 258.130000000001 513.150000000003 482.050000000003 469.610000000003 NA 463.390000000003 491.380000000003 NA 478.940000000003 475.830000000003 450.950000000002 513.150000000003 488.270000000003 469.610000000003 478.940000000003 398.080000000002 388.750000000002 NA 388.750000000002 382.530000000002 373.200000000002 366.980000000002 388.750000000002
709.306518622422 475.930756900796 440.047903911223 691.832923313636 722.702818245505 NA NA 478.90083364654 517.37035200986 427.509836851097 645.276630563509 519.431927545907 587.294913584436 723.230136802886 NA 487.979488519416 725.445086430365 716.088826096372 725.445086430365 725.445086430365 591.868858643128 592.915697981967 595.437348686376 579.688066817224 699.054336289086 511.089394086613 497.667563871444 NA 511.361909176308 418.537865347971 595.437348686376 701.581972939151 600.042316399597 569.130000000003 572.240000000003 522.480000000003 NA 475.830000000003 556.690000000003 541.140000000003 450.950000000002 438.510000000002 NA 544.250000000003 559.800000000003 457.170000000003 435.400000000002 416.740000000002 NA 391.860000000002 385.640000000002 NA 531.810000000003 360.760000000002 578.460000000003 522.480000000003 522.480000000003 NA 522.480000000003 538.030000000003 NA 531.810000000003 544.250000000003 488.270000000003 566.020000000003 541.140000000003 538.030000000003 547.360000000003 525.590000000003 438.510000000002 NA 407.410000000002 391.860000000002 385.640000000002 376.310000000002 429.180000000002
635.118445119809 503.952696250991 462.383023672801 616.799672617736 637.064122952907 NA 478.280503667611 481.501015140256 585.261143314061 460.170991538365 597.983440208599 536.16772693718 589.153735321798 660.521465770032 NA 480.863315205255 660.115724299362 652.715757981003 656.489112043979 642.138268507465 598.197066158786 395.636994333492 609.625964351508 588.412340996372 638.048690529434 506.251561378797 488.594758566925 NA 524.406576625331 357.527998431689 591.624796392638 642.780497205584 562.887208501692 569.130000000003 587.790000000003 534.920000000003 NA 534.920000000003 590.900000000003 503.820000000003 441.620000000002 435.400000000002 NA 528.700000000003 544.250000000003 432.290000000002 438.510000000002 438.510000000002 NA 422.960000000002 416.740000000002 NA 482.050000000003 373.200000000002 429.180000000002 519.370000000003 485.160000000003 NA 497.600000000003 556.690000000003 NA 550.470000000003 550.470000000003 538.030000000003 584.680000000003 550.470000000003 522.480000000003 522.480000000003 457.170000000003 311.000000000002 NA 435.400000000002 429.180000000002 419.850000000002 407.410000000002 432.290000000002
641.337959577625 439.61855984328 410.655344579289 649.522619577422 656.224703265136 NA 414.341568677981 415.753836858313 479.426702932053 419.093728967049 510.882152478587 421.05693796045 650.255842329295 649.352729646055 NA 487.633343710611 668.312498136966 547.120397574774 654.861591241077 570.638710385061 651.108393262668 579.656948604041 660.226915232107 544.466390129877 527.351713671914 500.774159045022 473.141442778349 NA 472.519196206207 NA 645.628733704071 520.185844080008 512.468876821682 556.690000000003 544.250000000003 500.710000000003 NA 258.130000000001 488.270000000003 447.840000000002 382.530000000002 370.090000000002 NA 466.500000000003 516.260000000003 385.640000000002 385.640000000002 388.750000000002 NA 354.540000000002 366.980000000002 NA 410.520000000002 NA 528.700000000003 485.160000000003 472.720000000003 NA 338.990000000002 541.140000000003 NA 513.150000000003 494.490000000003 482.050000000003 534.920000000003 407.410000000002 494.490000000003 488.270000000003 382.530000000002 373.200000000002 NA 379.420000000002 370.090000000002 357.650000000002 354.540000000002 379.420000000002
