"2018-05-29" "2018-06-02" "2018-06-08" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-13" "2018-07-21" "2018-07-23" "2018-07-29" "2018-07-31" "2018-08-11" "2018-08-19" "2018-09-07" "2018-09-11" "2018-09-13" "2018-09-14" "2016-08-17" "2016-08-22" "2016-09-01" "2017-05-15" "2017-05-18" "2017-06-03" "2017-06-06" "2017-06-14" "2017-06-15" "2017-06-28" "2017-07-06" "2017-07-08" "2017-07-14" "2017-07-18" "2017-07-19" "2017-07-29" "2017-07-30" "2017-08-05" "2017-08-09" "2017-08-21" "2017-08-31" "2017-09-02" "2017-09-04" "2017-09-08" "2017-09-16"
NA NA NA 28.0800000000009 NA 53.0400000000017 NA 18.7200000000006 NA NA NA NA 59.2800000000019 53.0400000000017 59.2800000000019 56.1600000000018 NA 65.5200000000021 NA 68.6400000000022 65.5200000000021 62.400000000002 31.200000000001 62.400000000002 15.6000000000005 NA 34.3200000000011 NA 56.1600000000018 21.8400000000007 59.2800000000019 NA 46.8000000000015 NA NA NA NA 87.3600000000028 NA NA NA 24.9600000000008
21.8400000000007 34.3200000000011 NA 46.8000000000015 46.8000000000015 118.560000000004 NA 53.0400000000017 NA NA 31.200000000001 NA 131.040000000004 49.9200000000016 112.320000000004 53.0400000000017 NA 121.680000000004 NA 124.800000000004 56.1600000000018 56.1600000000018 49.9200000000016 137.280000000004 43.6800000000014 43.6800000000014 53.0400000000017 NA 143.520000000005 46.8000000000015 131.040000000004 NA 56.1600000000018 NA NA 131.040000000004 37.4400000000012 180.960000000006 NA NA NA 53.0400000000017
34.3200000000011 34.3200000000011 NA 56.1600000000018 59.2800000000019 127.920000000004 NA 62.400000000002 NA NA 43.6800000000014 NA 146.640000000005 62.400000000002 131.040000000004 68.6400000000022 NA 143.520000000005 NA 134.160000000004 71.7600000000023 71.7600000000023 62.400000000002 124.800000000004 56.1600000000018 59.2800000000019 NA NA 137.280000000004 65.5200000000021 140.400000000004 NA 62.400000000002 NA NA 146.640000000005 53.0400000000017 159.120000000005 NA NA NA 62.400000000002
NA NA NA 43.6800000000014 NA 74.8800000000024 NA 34.3200000000011 NA NA NA NA 78.0000000000025 62.400000000002 81.1200000000026 74.8800000000024 NA 81.1200000000026 NA 87.3600000000028 84.2400000000027 81.1200000000026 56.1600000000018 78.0000000000025 43.6800000000014 NA 43.6800000000014 NA 74.8800000000024 40.5600000000013 78.0000000000025 NA 59.2800000000019 NA NA NA NA 127.920000000004 NA NA NA 43.6800000000014
NA NA 21.8400000000007 NA 24.9600000000008 56.1600000000018 12.4800000000004 24.9600000000008 15.6000000000005 21.8400000000007 28.0800000000009 18.7200000000006 71.7600000000023 NA 34.3200000000011 31.200000000001 24.9600000000008 65.5200000000021 28.0800000000009 74.8800000000024 34.3200000000011 34.3200000000011 24.9600000000008 59.2800000000019 18.7200000000006 18.7200000000006 NA 18.7200000000006 65.5200000000021 NA 68.6400000000022 18.7200000000006 NA 12.4800000000004 15.6000000000005 NA NA 96.7200000000031 15.6000000000005 NA 21.8400000000007 21.8400000000007
NA NA 24.9600000000008 NA 28.0800000000009 74.8800000000024 15.6000000000005 31.200000000001 21.8400000000007 21.8400000000007 28.0800000000009 18.7200000000006 81.1200000000026 NA 40.5600000000013 34.3200000000011 31.200000000001 84.2400000000027 34.3200000000011 81.1200000000026 37.4400000000012 37.4400000000012 21.8400000000007 71.7600000000023 24.9600000000008 18.7200000000006 NA 24.9600000000008 68.6400000000022 NA 78.0000000000025 21.8400000000007 NA 15.6000000000005 24.9600000000008 NA NA 106.080000000003 18.7200000000006 NA 28.0800000000009 28.0800000000009
NA NA 34.3200000000011 NA 56.1600000000018 65.5200000000021 34.3200000000011 49.9200000000016 21.8400000000007 24.9600000000008 46.8000000000015 28.0800000000009 68.6400000000022 NA 65.5200000000021 56.1600000000018 24.9600000000008 65.5200000000021 49.9200000000016 68.6400000000022 49.9200000000016 56.1600000000018 59.2800000000019 68.6400000000022 43.6800000000014 43.6800000000014 NA 24.9600000000008 65.5200000000021 NA 65.5200000000021 24.9600000000008 49.9200000000016 28.0800000000009 34.3200000000011 53.0400000000017 NA 106.080000000003 21.8400000000007 NA 21.8400000000007 49.9200000000016
31.200000000001 21.8400000000007 NA 46.8000000000015 49.9200000000016 146.640000000005 NA 59.2800000000019 NA NA 53.0400000000017 NA 146.640000000005 53.0400000000017 143.520000000005 62.400000000002 NA 143.520000000005 NA 146.640000000005 65.5200000000021 65.5200000000021 56.1600000000018 134.160000000004 53.0400000000017 46.8000000000015 56.1600000000018 NA 146.640000000005 53.0400000000017 146.640000000005 NA 56.1600000000018 NA NA 146.640000000005 40.5600000000013 165.360000000005 NA NA NA 53.0400000000017
NA NA 18.7200000000006 NA 28.0800000000009 53.0400000000017 18.7200000000006 24.9600000000008 NA 18.7200000000006 28.0800000000009 18.7200000000006 59.2800000000019 NA 34.3200000000011 31.200000000001 24.9600000000008 59.2800000000019 31.200000000001 65.5200000000021 40.5600000000013 37.4400000000012 28.0800000000009 56.1600000000018 15.6000000000005 15.6000000000005 NA 21.8400000000007 56.1600000000018 NA 56.1600000000018 18.7200000000006 NA 18.7200000000006 18.7200000000006 NA NA 99.8400000000032 18.7200000000006 NA 18.7200000000006 28.0800000000009
NA NA 53.0400000000017 NA 56.1600000000018 74.8800000000024 49.9200000000016 53.0400000000017 43.6800000000014 49.9200000000016 59.2800000000019 49.9200000000016 81.1200000000026 NA 65.5200000000021 68.6400000000022 53.0400000000017 78.0000000000025 56.1600000000018 84.2400000000027 65.5200000000021 65.5200000000021 56.1600000000018 78.0000000000025 53.0400000000017 49.9200000000016 NA 49.9200000000016 78.0000000000025 NA 78.0000000000025 49.9200000000016 NA 43.6800000000014 46.8000000000015 NA NA 131.040000000004 53.0400000000017 NA 53.0400000000017 62.400000000002
