"2018-05-16" "2018-05-18" "2018-05-19" "2018-05-25" "2018-05-29" "2018-06-04" "2018-06-05" "2018-06-06" "2018-06-07" "2018-06-15" "2018-06-20" "2018-06-21" "2018-06-23" "2018-06-27" "2018-07-01" "2018-07-03" "2018-07-04" "2018-07-22" "2018-07-28" "2018-07-29" "2018-07-31" "2018-08-18" "2018-08-31" "2018-09-07" "2018-09-08" "2018-09-14" "2018-09-15" "2016-08-27" "2017-05-17" "2017-06-14" "2017-06-15" "2017-06-19" "2017-06-21" "2017-06-27" "2017-07-08" "2017-07-29" "2017-08-16" "2017-08-22" "2017-09-02" "2017-09-03" "2017-09-08" "2017-09-09"
NA 763.720000000001 732.420000000001 NA 744.940000000001 704.250000000001 NA 469.609999999999 NA NA NA 460.279999999999 NA NA NA 647.910000000001 688.600000000001 NA NA NA NA NA NA NA NA NA 366.979999999999 559.799999999998 NA 466.499999999999 516.450000000001 600.960000000001 478.939999999999 419.849999999999 NA 482.049999999999 619.740000000001 406.9 NA 516.450000000001 559.799999999998 NA
450.949999999997 510.190000000001 579.050000000001 454.059999999997 497.670000000001 478.890000000001 NA NA NA 438.509999999997 413.629999999997 NA NA 422.959999999997 NA NA 491.410000000001 385.639999999997 416.739999999997 422.959999999997 413.629999999997 NA 510.039999999996 NA NA NA NA NA NA NA 488.280000000001 491.410000000001 NA NA 413.629999999997 NA NA 406.9 NA 491.410000000001 NA NA
NA 885.790000000001 901.440000000001 NA 835.710000000001 813.800000000001 NA 718.409999999998 NA NA NA 485.159999999999 NA NA NA 388.12 779.370000000001 NA NA NA NA NA NA NA NA NA 693.529999999998 780.609999999998 NA 649.989999999998 613.480000000001 716.770000000001 590.899999999998 482.049999999999 NA 625.109999999998 566.530000000001 507.060000000001 NA 547.750000000001 724.629999999998 NA
497.599999999996 475.760000000001 522.710000000001 500.709999999996 497.670000000001 478.890000000001 NA NA NA 491.379999999996 463.389999999996 NA NA 463.389999999996 NA NA 485.150000000001 450.949999999997 457.169999999997 457.169999999997 447.839999999997 NA 562.909999999996 NA NA NA NA NA NA NA 469.500000000001 482.020000000001 NA NA 447.839999999997 NA NA 453.85 NA 488.280000000001 NA NA
NA 807.540000000001 782.500000000001 NA 795.020000000001 769.980000000001 NA 693.529999999998 NA NA NA 640.659999999998 NA NA NA 729.290000000001 760.590000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 789.939999999998 NA 643.769999999998 651.040000000001 707.380000000001 674.869999999998 575.349999999998 NA 681.089999999998 710.510000000001 579.050000000001 NA 651.040000000001 811.709999999998 NA
NA 923.350000000001 870.140000000001 NA 920.220000000001 807.540000000001 NA 749.509999999998 NA NA NA 637.549999999998 NA NA NA 676.080000000001 798.150000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 805.489999999998 NA 628.219999999998 635.390000000001 769.980000000001 621.999999999998 575.349999999998 NA 634.439999999998 795.020000000001 735.550000000001 NA 732.420000000001 802.379999999998 NA
485.159999999996 510.190000000001 579.050000000001 497.599999999996 494.540000000001 478.890000000001 NA NA NA 478.939999999996 466.499999999996 NA NA 469.609999999996 NA NA 485.150000000001 435.399999999997 463.389999999996 463.389999999996 457.169999999997 NA 534.919999999996 NA NA NA NA NA NA NA 478.890000000001 485.150000000001 NA NA 463.389999999996 NA NA 366.21 NA 488.280000000001 NA NA
516.259999999996 463.240000000001 503.930000000001 500.709999999996 494.540000000001 475.760000000001 NA NA NA 491.379999999996 457.169999999997 NA NA 457.169999999997 NA NA 472.630000000001 450.949999999997 454.059999999997 454.059999999997 454.059999999997 NA 550.469999999996 NA NA NA NA NA NA NA 463.240000000001 469.500000000001 NA NA 450.949999999997 NA NA 416.29 NA 478.890000000001 NA NA
422.959999999997 544.620000000001 563.400000000001 488.269999999996 485.150000000001 463.240000000001 NA NA NA 475.829999999996 426.069999999997 NA NA 447.839999999997 NA NA 469.500000000001 450.949999999997 454.059999999997 454.059999999997 454.059999999997 NA 525.589999999996 NA NA NA NA NA NA NA 463.240000000001 466.370000000001 NA NA 457.169999999997 NA NA 378.73 NA 463.240000000001 NA NA
NA 926.480000000001 910.830000000001 NA 904.570000000001 863.880000000001 NA 702.859999999998 NA NA NA 572.239999999998 NA NA NA 435.070000000001 738.680000000001 NA NA NA NA NA NA NA NA NA 606.449999999998 883.239999999998 NA 643.769999999998 635.390000000001 735.550000000001 646.879999999998 528.699999999999 NA 649.989999999998 751.200000000001 616.610000000001 NA 638.520000000001 771.279999999998 NA
