"2016-05-17" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-08-26" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-04" "2018-06-09" "2018-06-21" "2018-06-26" "2018-06-27" "2018-06-30" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-10" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-13" "2018-05-20" "2018-05-25" "2018-05-27" "2018-05-28" "2018-05-29" "2018-06-02" "2018-06-03" "2018-06-04" "2018-06-05" "2018-06-08" "2018-06-09" "2018-06-13" "2018-06-25" "2018-06-27" "2018-07-03" "2018-07-04" "2018-07-07" "2018-07-08" "2018-07-18" "2018-07-19" "2018-07-20" "2018-07-22" "2018-07-23" "2018-07-24" "2018-07-25" "2018-07-28" "2018-07-29" "2018-07-30" "2018-07-31" "2018-08-09" "2018-08-18" "2018-09-07" "2018-09-08" "2018-09-10" "2018-09-11" "2018-09-13" "2018-09-14" "2016-07-26" "2016-09-02" "2017-05-20" "2017-06-04" "2017-06-06" "2017-06-19" "2017-06-22" "2017-06-26" "2017-06-28" "2017-07-01" "2017-07-14" "2017-07-21" "2017-07-22" "2017-07-30" "2017-08-05" "2017-08-06" "2017-08-26" "2017-08-31" "2017-09-02" "2017-09-08" "2017-09-14" "2017-09-15" "2017-09-17"
154.116479225407 169.87197093663 434.679714672872 434.679714672872 103.125051767237 261.048564815958 182.411135560599 NA 402.870803610579 411.863309690974 487.336622932218 273.208480280028 270.625479089719 198.164078411155 70.0794218206469 222.987495554052 219.333909254518 NA 254.782393630093 263.384334264212 NA 354.586596107562 NA 346.173455050627 268.760321483867 269.210325317848 235.290481788757 462.534768459432 383.532907716412 506.596807209487 455.593118504573 311.735818284195 NA 450.719999999998 410.029999999998 NA 372.469999999998 NA 297.349999999999 NA NA NA 256.659999999999 394.379999999998 456.979999999998 NA NA NA 466.369999999998 NA NA NA NA NA NA 453.849999999998 NA 554.009999999998 NA NA NA NA NA 475.759999999998 NA NA 247.269999999999 NA NA NA 381.859999999998 338.039999999999 NA NA NA 378.729999999998 438.199999999998 NA 557.139999999998 NA 494.539999999998 NA NA NA 525.839999999998 397.509999999998 NA NA 212.839999999999 NA NA NA
306.495545522322 346.153521657282 376.889532020156 376.889532020156 NA 361.36594803226 360.832882602835 NA 374.957097363711 376.889532020156 380.976581734696 371.997606232332 359.251515922739 353.725645817529 363.284265245283 362.649027252271 364.065572805501 333.34701043286 370.598280599571 365.825125868264 379.139221463761 367.116351148372 NA 361.011068985502 367.463084135033 371.997606232332 364.169194963171 543.221155308833 372.367003817337 370.774973263662 377.741370668147 368.085235574165 377.52 NA NA NA NA 386.88 NA 390 399.36 418.08 NA NA NA 418.08 408.72 474.24 NA NA 427.44 NA 405.6 411.84 390 NA NA NA NA 424.32 418.08 NA 421.2 NA 424.32 NA NA 396.24 402.48 NA NA NA 293.28 NA 430.56 NA NA NA NA NA NA 424.32 NA 427.44 NA NA NA 414.96 NA 358.8 377.52 NA
158.584562405327 158.218381596192 416.839120066378 416.839120066378 93.4662807622242 255.568482483861 154.036666717195 NA 386.314368499256 392.908161415231 483.794289530699 255.607683424398 248.553829150291 186.965447023516 53.4914344124621 201.517288842406 200.761374176276 NA 244.57564168132 243.593011970418 NA 334.307305207361 NA 326.532809296647 250.272893962488 250.70606862254 214.258473901322 469.37062546096 358.835606668965 503.256521832282 435.284512378052 294.05529793172 NA 441.329999999998 413.159999999998 NA 375.599999999998 NA 328.649999999999 NA NA NA 250.399999999999 406.899999999998 478.889999999998 NA NA NA 453.849999999998 NA NA NA NA NA NA 441.329999999998 NA 522.709999999998 NA NA NA NA NA 475.759999999998 NA NA 194.059999999999 NA NA NA 375.599999999998 375.599999999998 NA NA NA 406.899999999998 456.979999999998 NA 522.709999999998 NA 466.369999999998 NA NA NA 494.539999999998 394.379999999998 NA NA 225.359999999999 NA NA NA
166.520216847661 132.020373656023 376.947611555016 376.947611555016 80.0541695561038 245.232476092439 94.2254728670965 NA 339.900297100698 350.499447709579 479.389362958443 228.972411339229 220.69800063798 168.051020477792 NA 164.007902267401 163.622098178289 NA 233.094769063468 208.161794373912 NA 294.434007618289 NA 286.902162020673 212.696848083248 211.607586132021 174.508016557717 476.218523028904 321.121997507576 490.508349130666 377.17015114656 258.965992672976 NA 425.679999999998 391.249999999998 NA 350.559999999998 NA 316.129999999999 NA NA NA 247.269999999999 384.989999999998 435.069999999998 NA NA NA 384.989999999998 NA NA NA NA NA NA 438.199999999998 NA 375.599999999998 NA NA NA NA NA 472.629999999998 NA NA 219.099999999999 NA NA NA 353.689999999998 347.429999999999 NA NA NA 381.859999999998 410.029999999998 NA 503.929999999998 NA 485.149999999998 NA NA NA 503.929999999998 375.599999999998 NA NA 219.099999999999 NA NA NA
153.698819128453 172.515651332374 555.020413656718 555.020413656718 141.278761991584 358.739179542857 339.942881259212 NA 542.415168877211 584.628644008473 588.943670921088 392.592025468861 289.500097053814 191.179169940427 182.886525201017 354.593826303706 218.522779886772 NA 345.644882671926 429.79259118945 NA 499.227990429501 NA 484.033947942577 417.822039120666 421.125731328132 385.793490791091 563.150924490715 603.745474258134 646.186598384748 588.957071342065 408.816876514597 NA 591.569999999997 482.019999999998 NA 341.169999999999 NA 272.309999999999 NA NA NA 456.979999999998 525.839999999998 676.079999999997 NA NA NA 660.429999999997 NA NA NA NA NA NA 632.259999999997 NA 735.549999999997 NA NA NA NA NA 651.039999999997 NA NA 328.649999999999 NA NA NA 482.019999999998 344.299999999999 NA NA NA 419.419999999998 569.659999999998 NA 704.249999999997 115.81 694.859999999997 NA 156.499999999999 NA 729.289999999997 413.159999999998 NA NA 244.139999999999 NA NA NA
155.666106181449 172.426383245832 551.419747771504 551.419747771504 143.103928241673 359.617289994679 343.094600492329 NA 542.057352369577 579.53631735443 582.563509079707 385.011272357412 284.737907248186 187.231348905699 180.857111389522 355.020670052764 220.13283459249 NA 346.727679586075 430.523273101819 NA 502.445632513614 NA 477.434892581877 417.88838782951 421.250985561726 385.47399846535 543.483278669989 598.251307779833 631.903003436962 583.160114094121 404.619334856681 NA 607.219999999997 435.069999999998 NA 341.169999999999 NA 266.049999999999 NA NA NA 397.509999999998 485.149999999998 635.389999999997 NA NA NA 666.689999999997 NA NA NA NA NA NA 616.609999999997 NA 735.549999999997 NA NA NA NA NA 663.559999999997 NA NA 253.529999999999 NA NA NA 447.589999999998 334.909999999999 NA NA NA 406.899999999998 560.269999999998 NA 694.859999999997 112.68 707.379999999997 NA 140.849999999999 NA 735.549999999997 391.249999999998 NA NA 253.529999999999 NA NA NA
161.746577968256 143.464605435809 395.831782480344 395.831782480344 84.9400119884 250.893547771838 121.089200755191 NA 363.391821274369 371.946381740753 482.671233876406 240.159519438155 230.362809046322 175.39282060349 30.7326429878199 178.870068806992 179.788120690334 NA 237.284118426819 223.706927770118 NA 313.255194017434 NA 306.691480078309 229.314343816878 229.730695806779 191.308758361434 475.186705335275 334.71856710242 498.48301959188 407.308368425355 274.372997025909 NA 456.979999999998 422.549999999998 NA 406.899999999998 NA 331.779999999999 NA NA NA 244.139999999999 366.209999999998 466.369999999998 NA NA NA 416.289999999998 NA NA NA NA NA NA 441.329999999998 NA 469.499999999998 NA NA NA NA NA 494.539999999998 NA NA 294.219999999999 NA NA NA 375.599999999998 419.419999999998 NA NA NA 416.289999999998 460.109999999998 NA 522.709999999998 NA 478.889999999998 NA NA NA 494.539999999998 438.199999999998 NA NA 118.939999999999 NA NA NA
302.757537987546 340.482137853749 369.539362937522 369.539362937522 NA 353.40012941653 351.465802553289 NA 366.821738876558 368.367686601714 377.718680855996 364.454145971455 350.954646469063 347.146381000809 353.426908667248 353.672655532689 356.307025223408 333.34701043286 363.976639472298 357.714667673618 367.653482687165 357.24651464957 NA 351.426288188083 359.025034287034 365.625822307263 354.888789701408 533.204322048105 363.978359516891 369.557394079168 370.20330040746 359.522755438339 374.4 NA NA NA NA 386.88 NA 393.12 402.48 396.24 NA NA NA 396.24 402.48 405.6 NA NA 402.48 NA 396.24 396.24 386.88 NA NA NA NA 399.36 396.24 NA 405.6 NA 402.48 NA NA 393.12 380.64 NA NA NA 318.24 NA 399.36 NA NA NA NA NA NA 390 NA 405.6 NA NA NA 402.48 NA 361.92 368.16 NA
170.905359605642 118.074622311361 355.521458963199 355.521458963199 72.6510706090336 240.681949413394 63.5771056369266 NA 322.675866544094 330.596617036979 476.109348788606 209.481200504567 199.864683460651 153.735669261257 NA 145.958306316331 145.85388004673 NA 227.340617604812 188.20132800741 NA 272.952569988431 NA 270.366109960014 192.623152211183 192.938377734207 156.358023050135 475.949217574874 301.493739812039 484.385852955957 353.10813260643 239.980665285248 NA 419.419999999998 394.379999999998 NA 375.599999999998 NA 347.429999999999 NA NA NA 228.489999999999 394.379999999998 410.029999999998 NA NA NA 366.209999999998 NA NA NA NA NA NA 400.639999999998 NA 356.819999999998 NA NA NA NA NA 469.499999999998 NA NA 275.439999999999 NA NA NA 359.949999999998 375.599999999998 NA NA NA 391.249999999998 425.679999999998 NA 485.149999999998 NA 460.109999999998 NA NA NA 450.719999999998 391.249999999998 NA NA 131.459999999999 NA NA NA
298.327306608877 335.378288289749 360.902859867629 360.902859867629 NA 343.189158264264 344.953359776672 NA 358.638173150158 359.106963685114 372.748818713307 355.845679826565 342.839326090595 339.665771533718 346.587614871637 345.104333643617 347.805081367772 333.34701043286 357.155456750704 348.978116742947 358.443093221568 348.082549574351 NA 343.232360856445 350.070088920794 356.822076773072 346.117778784217 525.697996914351 355.449191114428 364.30874792727 362.162775164343 350.484856546881 324.48 NA NA NA NA 330.72 NA 330.72 336.96 340.08 NA NA NA 333.84 340.08 305.76 NA NA 343.2 NA 336.96 336.96 321.36 NA NA NA NA 340.08 336.96 NA 343.2 NA 340.08 NA NA 330.72 327.6 NA NA NA 280.8 NA 340.08 NA NA NA NA NA NA 340.08 NA 343.2 NA NA NA 336.96 NA 308.88 315.12 NA
