"2016-05-17" "2016-05-31" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-14" "2017-06-27" "2017-07-12" "2017-07-30" "2017-08-06" "2017-08-26" "2017-09-02" "2017-09-08" "2017-09-15" "2018-05-21" "2018-05-28" "2018-06-02" "2018-06-04" "2018-06-09" "2018-06-21" "2018-06-26" "2018-06-27" "2018-06-30" "2018-07-07" "2018-07-20" "2018-07-23" "2018-07-24" "2018-08-10" "2018-08-18" "2018-09-08" "2018-09-09" "2018-09-13"
"19" 318.410975514229 0 0 0 0 307.443750388432 292.48966801233 0 0 0 324.861087040884 0 0 0 304.211051879999 0 0 0 302.756984809889 0 301.580741374443 0 0 0 0 0 0 335.915542502865 0 330.080098400208 0 0
"20" 352.998092517923 0 0 0 0 338.28466903286 315.853906482904 0 0 0 355.702005685311 0 0 0 330.504790298086 0 0 0 333.597903454316 0 327.93403074589 0 0 0 0 0 0 360.4464811745 0 361.708409355556 0 0
"21" 397.029283572535 0 0 0 0 374.895960357559 344.473036652189 0 0 0 392.666620873936 0 0 0 360.294581471894 0 0 0 370.209194779015 0 356.788801235314 0 0 0 0 0 0 396.99886128855 0 396.795882686744 0 0
"22" 417.668793434222 0 0 0 0 390.85905835347 356.849845768248 0 0 0 410.369060701299 0 0 0 374.300322005035 0 0 0 385.502754835134 0 370.92500529182 0 0 0 0 0 0 415.320192603715 0 413.918679901238 0 0
"23" 491.295286666354 0 0 0 0 462.283426476417 410.460152902694 0 0 0 480.984817789325 0 0 0 435.819362735616 0 0 0 455.960211778985 0 427.316373085543 0 0 0 0 0 0 485.935949691742 0 484.534436989265 0 0
"24" 570.695814039944 0 0 0 0 543.384349223402 473.441567704505 0 0 0 560.582257050922 0 0 0 506.061904243745 0 0 0 535.282314490251 0 494.441415812735 0 0 0 0 0 0 565.769211639983 0 564.367698937506 0 0
"25" 652.257684949395 0 0 0 0 634.526186037732 544.494849439717 0 0 0 648.545851593353 0 0 0 582.840981743867 0 0 0 625.049754092123 0 567.19938420426 0 0 0 0 0 0 655.880144705452 0 654.478632002976 0 0
"26" 727.409462991798 0 0 0 0 722.77829830012 618.356676779138 0 0 0 735.361637873957 0 0 0 657.844508666484 0 0 0 715.275379739394 0 637.910097809823 0 0 0 0 0 0 742.460639085359 0 743.066255210798 0 0
"27" 800.217148767118 0 0 0 0 813.854333731025 698.237380589988 0 0 0 829.825563081366 0 0 0 734.467480622504 0 0 0 809.677684647163 0 713.768318027022 0 0 0 0 0 0 834.813108887871 0 835.41872501331 0 0
"28" 862.75172010932 0 0 0 0 901.485216238635 781.106557969492 0 0 0 926.036714805234 0 0 0 811.842357542418 0 0 0 900.188304222447 0 793.221437234101 0 0 0 0 0 0 930.359765140772 0 930.359765140772 0 0
