"2016-06-17" "2016-06-24" "2016-07-12" "2016-08-29" "2017-06-04" "2017-06-13" "2017-07-06" "2017-09-08" "2017-09-15"
"51" 443.402459247541 0 287.316179392838 343.490927735331 0 270.759408609108 359.149537544133 344.17358606902 0
"52" 421.041657108446 0 232.591565920149 294.458414331527 0 215.631396996026 334.90635902626 291.591171240687 0
"53" 394.926663875909 0 186.233156081413 268.154231336021 0 188.849387492606 308.098613677891 241.94630917255 0
"54" 0 0 136.855791969937 239.796724124648 0 136.09047651117 277.562480978809 189.079645803141 0
"55" 0 0 96.0608687529324 213.121686542805 0 108.172830628939 0 146.470263750493 0
"56" 0 0 63.2772854767642 191.47727808124 0 78.9044729127551 0 106.546318650881 0
"57" 0 0 41.709637140832 140.992824287327 0 48.3261608683784 0 81.6294606373688 0
"58" 0 0 23.7479660343774 113.936750569214 0 23.2271498909307 0 56.4020572477463 0
"59" 0 0 15.7070404505648 49.2055870100065 0 0.47130797568599 0 37.9141132181744 0
"60" NA 0 6.56232890030184 32.8037246733377 0 0.47130797568599 0 18.0450990438437 0
"61" NA 0 6.49499918948955 24.6027935050033 0 0 0 16.0508246341056 0
"62" NA 0 5.49366334075636 19.6822348040026 0 NA 0 0.47121686999209 0
"63" NA 0 5.49366334075636 16.4018623366688 0 NA 0 0 0
"64" NA 0 NA 2.57235709678114 0 NA 0 0 0
"65" NA 0 NA 2.20487751152669 0 NA 0 0 0
"66" NA 0 NA NA 0 NA 0 0 0
"67" NA 0 NA NA 0 NA 0 0 0
"68" NA 0 NA NA 0 NA NA NA 0
"69" NA 0 NA NA 0 NA NA NA 0
"70" NA 0 NA NA 0 NA NA NA 0
"71" NA 0 NA NA 0 NA NA NA 0
"72" NA 0 NA NA 0 NA NA NA 0
"73" NA 0 NA NA 0 NA NA NA 0
"74" NA 0 NA NA 0 NA NA NA 0
"75" NA 0 NA NA 0 NA NA NA 0
"76" 0 0 NA NA 0 NA 0 NA 0
"77" 0 0 NA NA 0 NA 0 NA 0
"78" 0 0 NA NA 0 NA NA NA 0
"79" 0 0 NA NA 0 NA NA NA 0
"80" 0 0 NA NA 0 NA NA NA 0
"81" 0 0 NA NA 0 NA NA NA 0
"82" 0 0 NA NA 0 NA NA NA 0
"83" 0 0 NA NA 0 NA NA NA 0
"84" 0 0 NA NA 0 NA NA NA 0
"85" 0 0 NA NA 0 NA NA NA 0
"86" 0 0 NA NA 0 NA NA NA 0
"87" NA 0 NA NA 0 NA NA NA NA
"88" NA 0 NA NA 0 NA NA NA NA
"89" NA 0 NA NA 0 NA NA NA NA
"90" NA 0 NA NA 0 NA NA NA NA
"91" NA 0 NA NA 0 NA NA NA NA
"92" NA 0 NA NA 0 NA NA NA NA
"93" NA 0 NA NA 0 NA NA NA NA
"94" NA 0 NA NA 0 NA NA NA NA
