"2016-05-30" "2016-06-15" "2016-06-17" "2016-06-24" "2016-08-18" "2016-09-03" "2017-05-17" "2017-06-02" "2017-06-04" "2017-07-04" "2017-07-06" "2017-07-13" "2017-07-29" "2017-09-08" "2017-09-15" "2018-05-29" "2018-06-07" "2018-07-23"
"934" 647.51859211072 649.267738142166 641.449951674339 651.310485008258 0 870.115083992919 665.726044408752 649.267738142166 647.10334131424 0 0 NA 644.948101806455 888.234100434213 534.691565555659 0 644.948101806455 0
"935" 643.038201599435 643.038201599435 637.94521615064 647.298047832675 0 882.268181137403 657.814961681202 643.038201599435 644.130172313626 0 0 NA 639.288044353483 885.446893701424 515.617393165078 0 639.288044353483 0
"936" 638.853699080949 638.853699080949 633.678566202469 643.842326679849 0 896.792808779307 655.853256428849 638.853699080949 638.520694162612 0 0 NA 633.678566202469 881.892395388797 499.787139966089 0 633.678566202469 0
"937" 638.297782581723 638.297782581723 629.37949591961 641.846653206234 0 905.930998773064 655.373818228743 638.297782581723 634.221623879754 0 0 NA 629.37949591961 887.762130042254 485.326352376779 0 629.37949591961 0
"938" 637.396057825947 637.396057825947 626.986494460739 641.45261464352 0 908.036234471258 654.567209964921 637.396057825947 632.635643747573 0 0 NA 626.986494460739 877.33745693633 477.918862536583 0 626.986494460739 0
"939" 637.071433854501 637.071433854501 624.303425961877 638.764533751606 0 927.010384080164 651.736048186564 637.071433854501 629.952575248711 0 0 NA 621.614921021914 870.239083658085 495.478238775846 0 621.614921021914 0
"940" 633.250338611215 633.250338611215 620.79738531054 635.757706223284 0 934.666954153476 647.924207170193 633.250338611215 626.446534597374 0 0 NA 616.030915716618 870.066381670128 543.751620754538 602.47929446828 616.030915716618 0
"941" 626.66184151183 626.66184151183 614.87024169662 632.355127278234 0 913.126577611075 641.144617461246 626.66184151183 618.004944891039 0 0 NA 610.103772102698 882.591091104617 596.226437308393 595.515767320501 610.103772102698 0
"942" 619.052405856254 619.052405856254 605.942333934148 623.854582664854 0 879.027011321995 633.53518180567 619.052405856254 605.942333934148 0 0 NA 601.175864340226 902.357857716899 649.828728714652 588.391205470897 601.175864340226 0
"943" 609.004039679998 609.004039679998 595.875547842701 613.652172925262 0 829.648264967235 619.092784204425 609.004039679998 596.472151538322 0 0 NA 591.109078248779 889.787495024708 708.662883564929 584.394393657533 591.109078248779 0
