"2016-05-17" "2016-05-30" "2016-06-25" "2016-06-26" "2016-08-18" "2016-08-31" "2016-09-01" "2017-05-31" "2017-06-13" "2017-06-27" "2017-07-15" "2017-07-18" "2017-07-30" "2017-08-06" "2017-08-07" "2017-09-08" "2017-09-15" "2018-05-18" "2018-05-28" "2018-05-29" "2018-06-05" "2018-06-07" "2018-06-08" "2018-06-21" "2018-06-23" "2018-07-07" "2018-07-13" "2018-07-17" "2018-07-20" "2018-07-23" "2018-07-26" "2018-08-23" "2018-09-01" "2018-09-09" "2018-09-11" "2018-09-13"
"940" 678.1119008 655.0485707 0 646.6228717 0 843.6874412 843.6874412 671.0877006 642.9361965 679.4035814 638.3713477 0 665.1213529 687.3806877 775.2095355 1045.087678 0 721.9583328 646.8487806 0 650.8616514 646.6122083 642.9361965 646.2968026 642.0580228 633.5811243 671.7884438 646.6122083 0 0 622.2417742 0 0 1060.223553 0 910.602434
"941" 673.1621267 649.4658562 0 642.92099 0 818.1941322 818.1941322 663.8213121 640.407409 652.6439131 633.9536287 0 660.7964206 680.5419822 770.5315675 1045.087678 0 718.9905184 639.3771346 0 644.6459966 638.5076219 640.407409 638.1922163 636.4672097 629.1634053 664.5380772 639.7735027 0 0 619.9414785 0 0 1060.223553 0 889.6206591
"942" 673.9598452 647.742863 0 636.6986903 0 791.4843461 791.4843461 659.0344975 636.6986903 0 631.6544868 0 661.6577703 680.7070515 779.776582 1045.087678 0 714.7798525 635.1235446 0 636.6986903 631.9698925 636.6986903 631.6544868 631.6544868 626.8642634 658.0550726 638.2771967 0 0 615.001549 0 0 1060.223553 0 868.0088995
"943" 671.4149692 647.469047 0 624.1347884 0 750.8422637 750.8422637 651.2406519 624.1347884 0 618.4578386 0 651.2322587 670.1510474 791.8530472 1016.02659 0 712.4079165 623.4998428 0 624.1347884 619.0905849 624.1347884 619.0905849 618.4578386 619.0905849 689.9523974 628.541847 0 0 600.8057741 0 0 1060.223553 0 827.1259388
"944" 656.2429605 641.7363043 0 608.9587419 0 712.3392104 712.3392104 633.5406282 608.9587419 0 600.7602104 0 627.8727929 651.8334138 798.7204927 954.9025432 0 709.8414211 605.8022146 0 608.9587419 603.9145384 608.9587419 603.9145384 600.7602104 603.9145384 723.7237649 610.8442188 0 0 584.3752123 0 0 0 941.7662794 787.3480547
"945" 654.9801976 627.2142921 0 593.8044425 0 692.1544194 692.1544194 619.0276352 593.8044425 0 584.35021 0 624.7220418 653.7246655 798.6984625 926.5737064 949.3606903 717.3874747 589.3922142 0 593.8044425 589.3932522 595.0701776 589.3932522 584.35021 588.7603846 752.6916213 594.4342184 0 0 572.3765228 0 0 903.9128878 919.0720438 750.1228128
"946" 672.01771 615.725659 0 579.4506731 0 692.107394 692.107394 614.0739132 579.4506731 0 572.5186995 0 640.5217389 675.5529477 810.8965136 908.9323045 942.788799 734.1887141 577.5607037 0 579.4506731 577.5617417 585.4707659 577.5617417 572.5186995 573.95507 781.6336721 582.6027079 0 0 562.4342336 0 0 879.9604932 902.2084611 715.8414876
"947" 682.1204374 606.923187 0 567.5021191 0 708.5434016 708.5434016 606.5280121 567.5021191 0 562.459077 0 644.9454601 687.5446066 834.2517974 904.2415212 933.7561269 751.8712055 566.8681408 0 567.5021191 567.5021191 577.3012343 567.5021191 562.459077 558.8501557 819.4955915 571.2772046 0 0 553.0075515 0 0 881.7997915 898.0259429 684.3545748
"948" 674.6099128 592.4773764 0 558.1076171 0 726.8896616 726.8896616 592.092475 558.1076171 0 552.4315374 0 632.3991442 680.0336938 839.9884783 902.971018 920.6883324 755.6979443 554.952927 0 558.1076171 558.1076171 567.9067323 558.1076171 553.0645749 544.411136 841.603618 556.2082416 0 0 546.1333729 0 0 885.5044691 898.5040997 658.5865776
"949" 660.8996455 572.9247986 0 551.1605309 0 738.206692 738.206692 581.5369709 551.1605309 0 543.4278128 0 621.8436402 666.1551401 832.570501 881.6469504 905.5326135 738.4855356 546.750235 0 551.1605309 551.1605309 560.9596461 551.1605309 546.750235 532.4227719 834.9668999 543.4278128 0 0 541.5390987 0 0 880.2077947 894.6129839 639.6649085
